#,Date Posted,Time Posted,Author,Post Text,Retweets,Favorites,Source,Overall Sentiment,Postive,Neutral,Negative
577,10/3/2022,4:02 PM,@Sushila42587313,"RT @RitikaRSharma2: #GodMorningWednesday नशा करता है नाश सौ नारी जारी करै, सुरापान सौ बार। एक चिलम हुक्का भरै, डूबै काली धार।। सौ स्त्रि…",13,13,Twitter for Android,Neutral,33.30%,33.40%,33.30%
578,10/3/2022,3:59 PM,@MrKipper6,So what exactly did happen to Idi Amin? Was he the bloke that was having a laugh at the Queen's Funeral? I think it… https://t.co/6wX3JFEcXs,0,1,Twitter Web App,Negative,25%,25.10%,50%
579,10/3/2022,3:24 PM,@neferimhotep,@SolidEvidence I am not in your line of research but I have been waiting for this question. I work quite a bit with… https://t.co/nQixhHoic7,0,0,Twitter for Android,Positive,50%,25.10%,25%
580,10/3/2022,3:14 PM,@ADHD7712,RT @alphamanstyle: As @UjuAnya et al vilify #QueenElizabethII #queensfuneral and the #British for the #Biafran war which killed/displaced 3…,45,266,Twitter Web App,Negative,16.70%,16.70%,66.60%
581,10/3/2022,3:13 PM,@MrsChiaraLuce,RT @LouisHenwood: Nice to see Kwasi Kwarteng clearly taking a personal call at the Queens funeral and having a bit of a laugh The chancell…,"5,694","11,887",Twitter for Android,Positive,50%,25.10%,25%
582,10/3/2022,2:52 PM,@Eva99160,"RT @DelMody: Catherine, Princess of Wales, Princess Charlotte and Prince George arrive at Westminster Abbey for The State Funeral of Queen…",244,"2,064",Twitter for Android,Neutral,33.30%,33.40%,33.30%
583,10/3/2022,2:40 PM,@modibo_Salihu,"RT @AbuTaymiyyahMJ: I will leave this right here, let’s just hope it stays up. Khutbah || The King, Queen & My Aqeedah As a Muslim | Ust A…",14,82,Twitter for Android,Positive,50%,25.10%,25%
584,10/3/2022,2:40 PM,@house_wakefield,Funeral of Her Majesty Queen Elizabeth II – 19 September 2022 #CareHomeCoUk #carequalitycommission #ccg… https://t.co/M92gjcJCFt,0,0,Twitter Web App,Positive,50%,25.10%,25%
585,10/3/2022,2:32 PM,@Jodyroyalfanwi,#queensfuneral https://t.co/Zbp71d3Lls,0,0,Twitter for Android,Neutral,33.30%,33.40%,33.30%
586,10/3/2022,2:31 PM,@Jodyroyalfanwi,#queensfuneral https://t.co/l77teknkAj,0,0,Twitter for Android,Neutral,33.30%,33.40%,33.30%
587,10/3/2022,2:31 PM,@Jodyroyalfanwi,#queensfuneral https://t.co/uRcp0DbjYa,0,0,Twitter for Android,Neutral,33.30%,33.40%,33.30%
588,10/3/2022,2:30 PM,@DianaGrantham15,Wait they're walking all the way to Windsor. Aaaaaallll the way 😳 #queensfuneral,0,0,Twitter Web App,Neutral,33.30%,33.40%,33.30%
589,10/3/2022,2:30 PM,@Jodyroyalfanwi,#queensfuneral https://t.co/2pVtnf2MHc,0,0,Twitter for Android,Neutral,33.30%,33.40%,33.30%
590,10/3/2022,2:30 PM,@Jodyroyalfanwi,#queensfuneral https://t.co/FIfh6oI8vr,0,0,Twitter for Android,Neutral,33.30%,33.40%,33.30%
591,10/3/2022,2:30 PM,@Jodyroyalfanwi,#queensfuneral https://t.co/t9CXsIW655,0,0,Twitter for Android,Neutral,33.30%,33.40%,33.30%
592,10/3/2022,2:19 PM,@gomurciaspain,https://t.co/NoEfL6YXnL #news #uknews #18yearsold #soldier #LondonBarracks #dead #worldnews #UKNews #queensfuneral,0,0,Twitter Web App,Negative,25%,25.10%,50%
593,10/3/2022,2:13 PM,@yulissavanessa4,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
594,10/3/2022,2:07 PM,@JLDempere,RT @alphamanstyle: As @UjuAnya et al vilify #QueenElizabethII #queensfuneral and the #British for the #Biafran war which killed/displaced 3…,45,266,Twitter for Android,Negative,16.70%,16.70%,66.60%
595,10/3/2022,1:40 PM,@Williamtheb,RT @Williamtheb: @davidduchovny @AkashicBooks @GillianA @Cumberbitches @BBCOne @BBCTwo @empiremagazine @simonpegg @KermodeMovie @WHO #Eliza…,1,0,Twitter Web App,Neutral,33.30%,33.40%,33.30%
596,10/3/2022,1:38 PM,@Williamtheb,RT @Williamtheb: @Kyle_MacLachlan @madchenamick @DanaAshbrook @LauraDern @DAVID_LYNCH @SherylLeeActrss @WHO @washingtonpost @nytimes #Eliza…,1,0,Twitter Web App,Neutral,33.30%,33.40%,33.30%
597,10/3/2022,1:20 PM,@Sahil202916392,RT @OfficialWasee14: Respect dog 🐕🐕 #queensfuneral #HouseOfTheDragon #PRELEMI #محمد_بن_سلمان #스트레이키즈 #Bryann𓃵 #BryannTheContent #chandigar…,3,8,Twitter for Android,Positive,50%,25.10%,25%
598,10/3/2022,1:20 PM,@fabucat,RT @alphamanstyle: As @UjuAnya et al vilify #QueenElizabethII #queensfuneral and the #British for the #Biafran war which killed/displaced 3…,45,266,Twitter for iPhone,Negative,16.70%,16.70%,66.60%
599,10/3/2022,1:12 PM,@mariela74863219,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
600,10/3/2022,12:57 PM,@jhostin941,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
601,10/3/2022,12:57 PM,@mariapa432,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
602,10/3/2022,12:46 PM,@karynita3211,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
603,10/3/2022,12:26 PM,@Nafisat54042432,#queensfuneral NDLEA #ASUU #Amenspace #shopchinatonaijawithnai #MrBiggsAgidingbi https://t.co/9KIZkW5B8l… https://t.co/EFXRSfY7il,0,1,Twitter Web App,Neutral,33.30%,33.40%,33.30%
604,10/3/2022,12:12 PM,@Sandanista,@conservatives have a plan... just a pretty rubbish plan scribbled on the back of fag packet in between champagne c… https://t.co/v7r1RDWwle,0,0,TweetDeck,Positive,57.10%,14.30%,28.60%
605,10/3/2022,12:08 PM,@jnewman7,RT @peristeraRa: ‘Not Many People Have Asked If I’m OK’ again #MeghanMarkIsaLiar #MeghanMarkleGoHome #MeghanMarkleExposed #MeghanMarkIe #qu…,51,512,Twitter Web App,Neutral,33.30%,33.40%,33.30%
606,10/3/2022,12:05 PM,@jnewman7,RT @PortiaMorris242: Here's the truth about the hug between #MeghanMarkIe and the 14 year old girl seen all over the world #WeLoveYouMeghan…,357,"1,088",Twitter Web App,Positive,66.60%,16.70%,16.70%
607,10/3/2022,12:00 PM,@Elizbeth_Huaman,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
608,10/3/2022,11:34 AM,@MulliMitch,"RT @AbuTaymiyyahMJ: I will leave this right here, let’s just hope it stays up. Khutbah || The King, Queen & My Aqeedah As a Muslim | Ust A…",14,82,Twitter for iPhone,Positive,50%,25.10%,25%
609,10/3/2022,11:26 AM,@MickowskiBob,RT @alphamanstyle: As @UjuAnya et al vilify #QueenElizabethII #queensfuneral and the #British for the #Biafran war which killed/displaced 3…,45,266,Twitter Web App,Negative,16.70%,16.70%,66.60%
610,10/3/2022,11:01 AM,@davidluishuaman,RT @ItsMisharlie: The Duchess of Sussex #queensfuneral https://t.co/oU9KWQJ4uP,"29,941","533,029",Twitter Web App,Neutral,33.30%,33.40%,33.30%
611,10/3/2022,10:52 AM,@PennyKardos,RT @PortiaMorris242: Here's the truth about the hug between #MeghanMarkIe and the 14 year old girl seen all over the world #WeLoveYouMeghan…,357,"1,088",Twitter for iPhone,Positive,66.60%,16.70%,16.70%
612,10/3/2022,10:41 AM,@alban_thurston,"@Mimmle @chrisshipitv @KwasiKwarteng @LBC ""Cocaine Decisions"" is one of genius Frank Zappa's songs. Soundtrack, I t… https://t.co/QjjbKq0nsd",0,2,Twitter Web App,Positive,66.60%,16.70%,16.70%
613,10/3/2022,10:41 AM,@_ThinkBot,RT @ie_assignments: Law Assignment Writing Service Bring You Success at Your Doorstep! Website: https://t.co/apGaeAdUow #assignments #ass…,1,1,_ThinkBot,Positive,50%,25.10%,25%
614,10/3/2022,10:40 AM,@ie_assignments,Law Assignment Writing Service Bring You Success at Your Doorstep! Website: https://t.co/apGaeAdUow #assignments… https://t.co/6C4L0nFCEA,1,1,Twitter Web App,Positive,50%,25.10%,25%
615,10/3/2022,10:34 AM,@AnyqArb,RT @Hanansaidsa: خاويت لي شخص يسبونه الناس…. أبعرف العالم وراها تسّبه…. ولقيت له ف قمة المجد مجلاس…. يعطي العطا ومكملٍ حق ربه…. أهل الحسد…,3,22,Twitter for Android,Neutral,33.30%,33.40%,33.30%
616,10/3/2022,10:24 AM,@MHristo,@BrugesGroup Your boy wonder #Kwarteng was seen laughing his head off at #queensfuneral pal. Then he cost us all £6… https://t.co/a6IDhvz4eh,0,1,Twitter for iPhone,Neutral,33.30%,33.40%,33.30%
617,10/3/2022,10:12 AM,@andwarn,RT @LouisHenwood: Nice to see Kwasi Kwarteng clearly taking a personal call at the Queens funeral and having a bit of a laugh The chancell…,"5,694","11,887",Twitter Web App,Positive,50%,25.10%,25%
618,10/3/2022,9:56 AM,@AgySamundarhai,@ArshadH69745213 @AltafHussain_90 #bhai ki #barsi bhi #queensfuneral ki tarah manani chahiye.,0,0,Twitter Web App,Neutral,33.30%,33.40%,33.30%
619,10/3/2022,9:37 AM,@UenrSrc,RT @uenrofficial: STAY POSITIVE ALWAYS!! . . #uenr #uenrat10 #Otumfuo #queensfuneral #QueenElizabethII https://t.co/wJfQ8XIXxL,6,34,Twitter for Android,Positive,50%,25.10%,25%
620,10/3/2022,9:19 AM,@therealelvez,@mrjamesob If only there were some signs a fortnight ago that Crazy Party Kwasi didn’t care about anything other th… https://t.co/Iwu6ecxbIC,0,1,Twitter for iPhone,Positive,40%,20%,40%
621,10/3/2022,9:05 AM,@AbuwbakarSadiq,"RT @AbuTaymiyyahMJ: I will leave this right here, let’s just hope it stays up. Khutbah || The King, Queen & My Aqeedah As a Muslim | Ust A…",14,82,Twitter for Android,Positive,50%,25.10%,25%
